video_id,title,url,published_at,duration,playlist_or_source,include_wave,skip_reason,caption_status
Vovq8CwJC-E,"🛠️ Before you start your CNC project, here’s a quick checklist to save you time and headaches",https://www.youtube.com/watch?v=Vovq8CwJC-E,,NA,CHANNEL,wave1,,auto
nESYbpc9r6o,How to convert text to curves in Vectric software | Creating Vectors | V12 Tutorials,https://www.youtube.com/watch?v=nESYbpc9r6o,,124.0,CREATEVEC-V12,wave1,,auto
bPCCtoT6dx0,How to create text | Creating Vectors | V12.5 tutorials,https://www.youtube.com/watch?v=bPCCtoT6dx0,,472.0,CREATEVEC-V12,wave1,,auto
xKEMBBssl48,How to draw a circle in Vectric software | Creating Vectors | V12 Tutorials,https://www.youtube.com/watch?v=xKEMBBssl48,,250.0,CREATEVEC-V12,wave1,,auto
aH2x_vEKThY,How to draw a polygon in Vectric software | Creating Vectors | V12 Tutorials,https://www.youtube.com/watch?v=aH2x_vEKThY,,241.0,CREATEVEC-V12,wave1,,auto
3VLd_-gHGeI,How to draw a rectangle in Vectric software | Creating Vectors | V12 Tutorials,https://www.youtube.com/watch?v=3VLd_-gHGeI,,434.0,CREATEVEC-V12,wave1,,auto
UZeMhbWFfjQ,How to draw a star in Vectric software | Creating Vectors | V12 Tutorials,https://www.youtube.com/watch?v=UZeMhbWFfjQ,,275.0,CREATEVEC-V12,wave1,,auto
3VzE89aug5o,How to draw an arc in Vectric software | Creating Vectors | V12 Tutorials,https://www.youtube.com/watch?v=3VzE89aug5o,,176.0,CREATEVEC-V12,wave1,,auto
evD7YgrMgl0,How to draw an ellipse in Vectric software | Creating Vectors | V12 Tutorials,https://www.youtube.com/watch?v=evD7YgrMgl0,,310.0,CREATEVEC-V12,wave1,,auto
jzW6RGG8wWk,How to node edit vectors  | Editing Objects | V12.5 Tutorials,https://www.youtube.com/watch?v=jzW6RGG8wWk,,674.0,CREATEVEC-V12,wave1,,auto
PXh58eYRoWE,How to trim vectors | Creating Vectors | V12.5 Tutorials,https://www.youtube.com/watch?v=PXh58eYRoWE,,424.0,CREATEVEC-V12,wave1,,auto
WHG7Ko4_6wU,How to use the polyline tool in Vectric software | Creating Vectors | V12 Tutorials,https://www.youtube.com/watch?v=WHG7Ko4_6wU,,360.0,CREATEVEC-V12,wave1,,auto
dLD0Li8DMYw,How to create fillets in Vectric software | Editing Objects | V12.5 Tutorials,https://www.youtube.com/watch?v=dLD0Li8DMYw,,472.0,EDITOBJ-V12,wave1,,auto
uPTziUXw4PI,How to extend vectors in Vectric software | Editing Objects | V12 Tutorials,https://www.youtube.com/watch?v=uPTziUXw4PI,,156.0,EDITOBJ-V12,wave1,,auto
N_jHFZz9wz4,How to group and ungroup vectors in Vectric software | Editing Objects | V12 Tutorials,https://www.youtube.com/watch?v=N_jHFZz9wz4,,237.0,EDITOBJ-V12,wave1,,auto
0Bb_Sm-jAtA,How to join vectors in Vectric software | Editing Objects | V12 Tutorials,https://www.youtube.com/watch?v=0Bb_Sm-jAtA,,305.0,EDITOBJ-V12,wave1,,auto
vDO-TC__TCE,How to use the vector validator in Vectric software | Editing Objects | V12 Tutorials,https://www.youtube.com/watch?v=vDO-TC__TCE,,549.0,EDITOBJ-V12,wave1,,auto
8pWYBEY7Sxg,"How to weld, subtract and overlap vectors in Vectric software | Editing Objects | V12 Tutorials",https://www.youtube.com/watch?v=8pWYBEY7Sxg,,176.0,EDITOBJ-V12,wave1,,auto
mucdprsJQkw,How to make a toolpath setup sheet in Vectric software | Efficiency Tools | V12 Tutorials,https://www.youtube.com/watch?v=mucdprsJQkw,,1005.0,EFFICIENCY-V12,wave1,,auto
wzS6M3bhHgo,How to use job templates in Vectric software | Efficiency Tools | V12 Tutorials,https://www.youtube.com/watch?v=wzS6M3bhHgo,,973.0,EFFICIENCY-V12,wave1,,auto
qOIZmdKOno0,How to import and export 3D data in Vectric software | General Topics | V12 Tutorials,https://www.youtube.com/watch?v=qOIZmdKOno0,,1710.0,GENERAL-V12,wave1,,auto
JRPg0oexpN8,How to use layers | General Topics | V12.5 Tutorials,https://www.youtube.com/watch?v=JRPg0oexpN8,,1466.0,GENERAL-V12,wave1,,auto
EC0F23IihuY,How to use the interface in Vectric software | General Topics | V12 Tutorials,https://www.youtube.com/watch?v=EC0F23IihuY,,816.0,GENERAL-V12,wave1,,auto
deMB2pc9-pY,How to add clearance tool to v-carving in Vectric VCarve & Aspire | Getting Started | V12 Tutorials,https://www.youtube.com/watch?v=deMB2pc9-pY,,1263.0,GS-V12,wave1,,auto
WzJOIdUfMO4,How to create a relief model in Vectric Aspire | Getting Started | V12 Tutorials,https://www.youtube.com/watch?v=WzJOIdUfMO4,,2187.0,GS-V12,wave1,,auto
ooTRI9rHydw,How to create a simple sign in Vectric software | Getting Started | V12 Tutorials,https://www.youtube.com/watch?v=ooTRI9rHydw,,1293.0,GS-V12,wave1,,auto
kdvjB-4ET7o,How to create a v-carved sign in Vectric software | Getting Started | V12 Tutorials,https://www.youtube.com/watch?v=kdvjB-4ET7o,,1423.0,GS-V12,wave1,,auto
cORavE0W3fo,How to import and machine a 3D model in Vectric VCarve & Aspire | Getting Started | V12 Tutorials,https://www.youtube.com/watch?v=cORavE0W3fo,,1809.0,GS-V12,wave1,,auto
gezzgwbX-Mk,How to model a 3D sign in Vectric Aspire | Getting Started | V12 Tutorials,https://www.youtube.com/watch?v=gezzgwbX-Mk,,2049.0,GS-V12,wave1,,auto
yTlrrcQSBkE,Importing vectors and create profile toolpaths in Vectric software | Getting Started | V12 Tutorials,https://www.youtube.com/watch?v=yTlrrcQSBkE,,849.0,GS-V12,wave1,,auto
7TLntCKMjww,How to create a carved recess in Aspire in Vectric software | Modeling Tools | V12 Tutorials,https://www.youtube.com/watch?v=7TLntCKMjww,,842.0,MODELTOOLS-V12,wave1,,auto
0z0zpqyuaKc,How to create a zero plane in Vectric software | Modeling Tools | V12 Tutorials,https://www.youtube.com/watch?v=0z0zpqyuaKc,,101.0,MODELTOOLS-V12,wave1,,auto
e08s0KipMEY,How to model a flat plane in Aspire in Vectric software | Modeling Tools | V12 Tutorials,https://www.youtube.com/watch?v=e08s0KipMEY,,560.0,MODELTOOLS-V12,wave1,,auto
rA1ZDH1qY4c,How to model a round shape in Aspire in Vectric software | Modeling Tools | V12 Tutorials,https://www.youtube.com/watch?v=rA1ZDH1qY4c,,810.0,MODELTOOLS-V12,wave1,,auto
57VUdzl9jiI,How to model a shape with a custom profile in Vectric software | Modeling Tools | V12 Tutorials,https://www.youtube.com/watch?v=57VUdzl9jiI,,1019.0,MODELTOOLS-V12,wave1,,auto
zCVBsLEBi4w,How to model a smooth shape in Vectric software | Modeling Tools | V12 Tutorials,https://www.youtube.com/watch?v=zCVBsLEBi4w,,797.0,MODELTOOLS-V12,wave1,,auto
nMM9s51Ee2c,How to model an angled shape in Aspire in Vectric software | Modeling Tools | V12 Tutorials,https://www.youtube.com/watch?v=nMM9s51Ee2c,,783.0,MODELTOOLS-V12,wave1,,auto
s4ofeDBlkbw,How to put a model in a dish recess in Vectric software | Modeling Tools | V12 Tutorials,https://www.youtube.com/watch?v=s4ofeDBlkbw,,920.0,MODELTOOLS-V12,wave1,,auto
Fdq4nhMahF8,How to use the two rail sweep in Aspire in Vectric software | Modeling Tools | V12 Tutorials,https://www.youtube.com/watch?v=Fdq4nhMahF8,,1073.0,MODELTOOLS-V12,wave1,,auto
glEsqGe_8cU,Introduction to 3D modeling in Vectric software | Modeling Tools | V12 Tutorials,https://www.youtube.com/watch?v=glEsqGe_8cU,,692.0,MODELTOOLS-V12,wave1,,auto
66cFpax3Q3Q,How to offset vectors in Vectric software | Offset and Layout Tools | V12 Tutorials,https://www.youtube.com/watch?v=66cFpax3Q3Q,,276.0,OFFSET-V12,wave1,,auto
WHFiP-5FMYU,"How to Edit, Duplicate, Delete and Recalculate Toolpaths | Toolpath FAQs | V12.5 Tutorials",https://www.youtube.com/watch?v=WHFiP-5FMYU,,313.0,TPFAQ-V12,wave1,,auto
Xnj195VAW04,How to Preview Toolpaths | Toolpath FAQs | V12.5 Tutorials,https://www.youtube.com/watch?v=Xnj195VAW04,,1082.0,TPFAQ-V12,wave1,,auto
Txafg3oN8c0,How to save toolpaths in Vectric software | Toolpath FAQ's | V12 Tutorials,https://www.youtube.com/watch?v=Txafg3oN8c0,,855.0,TPFAQ-V12,wave1,,auto
W2P2EhRRjg8,How to set-up your machine configuration in Vectric software | Toolpath FAQ's | V12 Tutorials,https://www.youtube.com/watch?v=W2P2EhRRjg8,,917.0,TPFAQ-V12,wave1,,auto
YNfSato4LvM,How to set-up your material in Vectric software | Toolpath FAQ's | V12 Tutorials,https://www.youtube.com/watch?v=YNfSato4LvM,,590.0,TPFAQ-V12,wave1,,auto
0FkoKHrktJE,How to use the tool database in Vectric software | Toolpath FAQ's | V12 Tutorials,https://www.youtube.com/watch?v=0FkoKHrktJE,,979.0,TPFAQ-V12,wave1,,auto
JG9x0dAr3WI,How to align objects in Vectric software | Transforming Objects | V12 Tutorials,https://www.youtube.com/watch?v=JG9x0dAr3WI,,256.0,TRANSFORM-V12,wave1,,auto
AD95uqxZWpg,How to mirror objects in Vectric software | Transforming Objects | V12 Tutorials,https://www.youtube.com/watch?v=AD95uqxZWpg,,256.0,TRANSFORM-V12,wave1,,auto
1-xjiMnIHE8,How to move objects in Vectric software | Transforming Objects | V12 Tutorials,https://www.youtube.com/watch?v=1-xjiMnIHE8,,275.0,TRANSFORM-V12,wave1,,auto
9_X3gIyPGMM,How to rotate objects in Vectric software | Transforming Objects | V12 Tutorials,https://www.youtube.com/watch?v=9_X3gIyPGMM,,234.0,TRANSFORM-V12,wave1,,auto
MuZTZnmnU5c,How to set the size of objects in Vectric software | Transforming Objects | V12 Tutorials,https://www.youtube.com/watch?v=MuZTZnmnU5c,,292.0,TRANSFORM-V12,wave1,,auto
8o1ckYbr9tY,How to use the PhotoVCarve toolpath in Vectric software | 2.5D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=8o1ckYbr9tY,,1216.0,25DTOOLPATH-V12,skip,photo V-carve excluded,
J1pR89ObO6g,How to use the VCarve inlay toolpath in Vectric software | 2.5D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=J1pR89ObO6g,,889.0,25DTOOLPATH-V12,wave2,defer: vcarve inlay,
izFO02etvTg,How to use the chamfer toolpath in Vectric software | 2.5D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=izFO02etvTg,,1304.0,25DTOOLPATH-V12,wave2,defer: chamfer,
4_WbZoZeVvY,How to use the fluting toolpath in Vectric software | 2.5D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=4_WbZoZeVvY,,1090.0,25DTOOLPATH-V12,wave2,defer: fluting,
pBkxXN4lz88,How to use the moulding toolpath in Vectric software | 2.5D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=pBkxXN4lz88,,1143.0,25DTOOLPATH-V12,wave2,defer: moulding,
MM-satiPXgg,How to use the prism toolpath in Vectric software | 2.5D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=MM-satiPXgg,,132.0,25DTOOLPATH-V12,wave2,defer: prism toolpath,
T20Snbn9ACc,How to use the sketch carving toolpath | 2.5D Toolpaths | V12.5 Tutorials,https://www.youtube.com/watch?v=T20Snbn9ACc,,1267.0,25DTOOLPATH-V12,wave2,defer: sketch carving,
LXQai4Dt264,How to use the texture toolpath in Vectric software | 2.5D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=LXQai4Dt264,,868.0,25DTOOLPATH-V12,skip,decorative texture tooling,
-gbQ2eUJ4kw,How to use the auto inlay toolpath in Vectric software | 2D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=-gbQ2eUJ4kw,,884.0,2DTOOLPATH-V12,wave2,defer: auto inlay,
JoYrjnIRXhk,How to use the threadmilling toolpath in Vectric software | 2D Toolpaths | V12 Tutorials,https://www.youtube.com/watch?v=JoYrjnIRXhk,,1257.0,2DTOOLPATH-V12,skip,threadmilling niche,
rJ3wOr1YjVA,How to make a 3D project with Design & Make models in Vectric software | 3D Assembly | V12 Tutorials,https://www.youtube.com/watch?v=rJ3wOr1YjVA,,1395.0,3DASSEMBLY-V12,skip,Design&Make marketing/model shop,
cr9-TgbLNwA,'ON AIR' Sign | In the Labs Vectric | FREE CNC Projects,https://www.youtube.com/watch?v=cr9-TgbLNwA,,1889.0,CHANNEL,skip,project/marketing fluff,
VxZwzEN1ELk,'ON AIR' Sign | Vectric FREE CNC Projects #short #shorts,https://www.youtube.com/watch?v=VxZwzEN1ELk,,NA,CHANNEL,skip,project/marketing fluff,
90-5uZO9qGE,2 Sided Machining - Leaf Bowl - Practical,https://www.youtube.com/watch?v=90-5uZO9qGE,,564.0,CHANNEL,wave2,uncategorized tutorial,
Tk92ayrFiT0,2 Tool Pocket Prism Carve Multi-Color Preview,https://www.youtube.com/watch?v=Tk92ayrFiT0,,995.0,CHANNEL,wave2,uncategorized tutorial,
1Ks7KTyY_9I,2.5D House Sign with Charlie | Vectric Worldwide UGM 2023,https://www.youtube.com/watch?v=1Ks7KTyY_9I,,2581.0,CHANNEL,skip,project/marketing fluff,
EEdH48ex9CI,2.5D Texturing Toolpaths,https://www.youtube.com/watch?v=EEdH48ex9CI,,958.0,CHANNEL,wave2,uncategorized tutorial,
dM1bLS0-zdQ,2D View Overview,https://www.youtube.com/watch?v=dM1bLS0-zdQ,,484.0,CHANNEL,wave2,uncategorized tutorial,
lK3aHt6i3N0,3 Gifts Zero Design Skills | Vectric EasyCarve,https://www.youtube.com/watch?v=lK3aHt6i3N0,,1720.0,CHANNEL,skip,EasyCarve/EasyCreate consumer line,
GPrI-5fZ2RI,3 Legged Table - Drawing | Vectric V11 Tutorials,https://www.youtube.com/watch?v=GPrI-5fZ2RI,,871.0,CHANNEL,wave2,older-version duplicate of V12 tutorial,
rgIPh1bBsm0,3 Legged Table | 2D Toolpaths | V9,https://www.youtube.com/watch?v=rgIPh1bBsm0,,744.0,CHANNEL,wave2,older-version duplicate of V12 tutorial,
TAtlXMeTJC8,3 Legged Table | Vector Drawing | V9,https://www.youtube.com/watch?v=TAtlXMeTJC8,,1109.0,CHANNEL,wave2,older-version duplicate of V12 tutorial,
rvJLZSXon2c,3 Legged Table | Vectric V11 Tutorials,https://www.youtube.com/watch?v=rvJLZSXon2c,,882.0,CHANNEL,wave2,older-version duplicate of V12 tutorial,
NtTKD5Xt1So,3 Quick Vectric Tips You Might Not Know 👀✨,https://www.youtube.com/watch?v=NtTKD5Xt1So,,NA,CHANNEL,wave2,uncategorized tutorial,
GnwlNDtTxxo,3D Art Installation From Concept To Cut | Vectric Online UGM 2025,https://www.youtube.com/watch?v=GnwlNDtTxxo,,4307.0,CHANNEL,skip,project/marketing fluff,
tN7uugHO-Bs,3D Gorilla's Head Slicing & Tooling by Todd | Vectric Worldwide UGM 2020,https://www.youtube.com/watch?v=tN7uugHO-Bs,,3685.0,CHANNEL,skip,project/marketing fluff,
bPwN2Bg7Eh0,3D Modeling - The Making of Victor with Todd | Vectric Worldwide UGM 2023,https://www.youtube.com/watch?v=bPwN2Bg7Eh0,,3521.0,CHANNEL,skip,project/marketing fluff,
IrtLiUBbfdk,3D Modelling a Gorilla's Head by Todd | Vectric Worldwide UGM 2020,https://www.youtube.com/watch?v=IrtLiUBbfdk,,3085.0,CHANNEL,skip,project/marketing fluff,
eWmFewwEeOI,3D Segmenting with Todd | Vectric Worldwide UGM 2021,https://www.youtube.com/watch?v=eWmFewwEeOI,,4436.0,CHANNEL,skip,project/marketing fluff,
lgjYgIKRy9U,3D Tiling 3D Toolpaths,https://www.youtube.com/watch?v=lgjYgIKRy9U,,834.0,CHANNEL,wave2,uncategorized tutorial,
fK2MnubD2Xs,3D Tiling | 3D Toolpaths | V9,https://www.youtube.com/watch?v=fK2MnubD2Xs,,907.0,CHANNEL,wave2,older-version duplicate of V12 tutorial,
Cb6YhS9Uo9I,3D Tiling | Vectric V11 Tutorials,https://www.youtube.com/watch?v=Cb6YhS9Uo9I,,750.0,CHANNEL,wave2,older-version duplicate of V12 tutorial,
O7-B6qO02A4,3D View Overview,https://www.youtube.com/watch?v=O7-B6qO02A4,,480.0,CHANNEL,wave2,uncategorized tutorial,
N0qzVOepa64,6 CNC Projects In Two Days | Vectric EasyCarve,https://www.youtube.com/watch?v=N0qzVOepa64,,2186.0,CHANNEL,skip,EasyCarve/EasyCreate consumer line,
0khIbhm6MTo,A Step-by-Step Guide to Creating Stunning Inlays in Vectric Software | Vectric Online UGM 2025,https://www.youtube.com/watch?v=0khIbhm6MTo,,3024.0,CHANNEL,skip,project/marketing fluff,
CXrX9f-I12A,A brand-new FREE CNC project is live 🎉,https://www.youtube.com/watch?v=CXrX9f-I12A,,NA,CHANNEL,wave2,uncategorized tutorial,
29f9T-CWL3U,A creative twist on EasyCarve! 💡,https://www.youtube.com/watch?v=29f9T-CWL3U,,NA,CHANNEL,skip,EasyCarve/EasyCreate consumer line,
SIRvf2nJ78M,A creative twist on EasyCarve! 💡,https://www.youtube.com/watch?v=SIRvf2nJ78M,,NA,CHANNEL,skip,EasyCarve/EasyCreate consumer line,
64sbKkF5Xsc,A little throwback to this giant X and O game we made for Makers Central last year ☀️🎯,https://www.youtube.com/watch?v=64sbKkF5Xsc,,NA,CHANNEL,wave2,uncategorized tutorial,
KlO_A3XOBFQ,"A retirement gift made in minutes, carved with meaning",https://www.youtube.com/watch?v=KlO_A3XOBFQ,,NA,CHANNEL,wave2,uncategorized tutorial,
L33dgHGHSTc,A01s - Bulls Head - Short Version,https://www.youtube.com/watch?v=L33dgHGHSTc,,525.0,CHANNEL,wave2,uncategorized tutorial,
VGZW4raPdTA,A02 - Open Sign,https://www.youtube.com/watch?v=VGZW4raPdTA,,2019.0,CHANNEL,wave2,uncategorized tutorial,
84j_h3bImLI,A02s - Open Sign - Short Version,https://www.youtube.com/watch?v=84j_h3bImLI,,862.0,CHANNEL,wave2,uncategorized tutorial,
WbgyUHB0udo,A03 - Liberator Logo,https://www.youtube.com/watch?v=WbgyUHB0udo,,1531.0,CHANNEL,wave2,uncategorized tutorial,
1YOO2vHJpv0,A03s - Liberator Logo - Short Version,https://www.youtube.com/watch?v=1YOO2vHJpv0,,620.0,CHANNEL,wave2,uncategorized tutorial,
b0JM_iUf_4g,A04 - Importing 3D Clipart,https://www.youtube.com/watch?v=b0JM_iUf_4g,,1736.0,CHANNEL,wave2,uncategorized tutorial,
dk7uOCy1XJ8,A04s - Importing 3D Clipart - Short Version,https://www.youtube.com/watch?v=dk7uOCy1XJ8,,636.0,CHANNEL,wave2,uncategorized tutorial,
U-xUazjW82c,A05 - Teddy Bear Head,https://www.youtube.com/watch?v=U-xUazjW82c,,2048.0,CHANNEL,wave2,uncategorized tutorial,
2u2DsTgAEIk,A05s - Teddy Bear Head - Short Version,https://www.youtube.com/watch?v=2u2DsTgAEIk,,608.0,CHANNEL,wave2,uncategorized tutorial,
UgmggmTQJA4,A06 - Shell Sign,https://www.youtube.com/watch?v=UgmggmTQJA4,,1879.0,CHANNEL,wave2,uncategorized tutorial,
CaDJnxsQMfc,A06s - Shell Sign - Short Version,https://www.youtube.com/watch?v=CaDJnxsQMfc,,661.0,CHANNEL,wave2,uncategorized tutorial,
8aDwgs_jVmE,A07 - Import 3D Data Machinist,https://www.youtube.com/watch?v=8aDwgs_jVmE,,2239.0,CHANNEL,wave2,uncategorized tutorial,
JI4cRKCEbFI,A07s - Import 3D Data Machinist - Short Version,https://www.youtube.com/watch?v=JI4cRKCEbFI,,509.0,CHANNEL,wave2,uncategorized tutorial,
07S1EBsu11s,Abigail's Tea Tray Project | Vectric FREE CNC Projects #shorts,https://www.youtube.com/watch?v=07S1EBsu11s,,NA,CHANNEL,skip,project/marketing fluff,
MlmLTq3dVmo,Advanced CNC FREE Projects | Winter MAKE OFF | In The Labs with Vectric | Vectric FREE CNC Projects,https://www.youtube.com/watch?v=MlmLTq3dVmo,,2054.0,CHANNEL,skip,project/marketing fluff,
oWQpShuxrgw,Advanced Toolpath Strategies - Plywood & Plastics by Sami & Cory | Vectric Worldwide UGM 2020,https://www.youtube.com/watch?v=oWQpShuxrgw,,3445.0,CHANNEL,skip,project/marketing fluff,
TEMc-ZKXaTA,Advanced Toolpath Strategies Aluminium & Brass by Sami & Cory | Vectric Worldwide UGM 2020,https://www.youtube.com/watch?v=TEMc-ZKXaTA,,3211.0,CHANNEL,skip,project/marketing fluff,
4SYosjkgioY,Arcade Game | Making Slot-Together Game Machine | In the Labs with Beki | Vectric FREE CNC Projects,https://www.youtube.com/watch?v=4SYosjkgioY,,2182.0,CHANNEL,skip,project/marketing fluff,
rIi7_2aI5EE,Array Copy & Merging Toolpaths Guide | General Topics | V9,https://www.youtube.com/watch?v=rIi7_2aI5EE,,1493.0,CHANNEL,wave2,older-version duplicate of V12 tutorial,
3JcUpvhxtYA,Array Copy & Merging Toolpaths Guide | Vectric V11 Tutorials,https://www.youtube.com/watch?v=3JcUpvhxtYA,,1324.0,CHANNEL,wave2,older-version duplicate of V12 tutorial,
hbjebKbZNS4,Aspire - 2D Design Overview,https://www.youtube.com/watch?v=hbjebKbZNS4,,466.0,CHANNEL,wave2,uncategorized tutorial,
pKQnYzotpLQ,Aspire - 3D Design Overview,https://www.youtube.com/watch?v=pKQnYzotpLQ,,227.0,CHANNEL,wave2,uncategorized tutorial,
KK96tb8sXPE,Aspire - 3D Machining Tutorial,https://www.youtube.com/watch?v=KK96tb8sXPE,,254.0,CHANNEL,wave2,uncategorized tutorial,
QO3NzYJM3kg,Aspire - 3D Modelling Overview,https://www.youtube.com/watch?v=QO3NzYJM3kg,,244.0,CHANNEL,wave2,uncategorized tutorial,
V7UbccVNPSs,Aspire - Creating 3D Shapes,https://www.youtube.com/watch?v=V7UbccVNPSs,,474.0,CHANNEL,wave2,uncategorized tutorial,
mvNsno-HJpQ,Aspire - Getting Started Overview and Getting Help,https://www.youtube.com/watch?v=mvNsno-HJpQ,,342.0,CHANNEL,wave2,legacy getting-started overview (superseded by V12 GS),
Gqy3az2Xca4,Aspire - Importing 3D CAD Models Overview,https://www.youtube.com/watch?v=Gqy3az2Xca4,,617.0,CHANNEL,wave2,uncategorized tutorial,
kON0ADSeGzw,Aspire - Interactive Sculpting 3D shapes,https://www.youtube.com/watch?v=kON0ADSeGzw,,619.0,CHANNEL,skip,sculpting deep-dive post-lean,
RsQImTFuuqY,Aspire 3.0 Beta Preview - Component Modification,https://www.youtube.com/watch?v=RsQImTFuuqY,,390.0,CHANNEL,wave2,uncategorized tutorial,
LJNUjltGp-o,Aspire 4 - What's New - Example 1 of 2,https://www.youtube.com/watch?v=LJNUjltGp-o,,1628.0,CHANNEL,wave2,uncategorized tutorial,
CK8HqMZJ0ZE,Aspire 4 - What's New - Example 2 of 2,https://www.youtube.com/watch?v=CK8HqMZJ0ZE,,2126.0,CHANNEL,wave2,uncategorized tutorial,
01qWUoG1NJ8,Aspire Clipart Guide,https://www.youtube.com/watch?v=01qWUoG1NJ8,,1342.0,CHANNEL,wave2,uncategorized tutorial,
eJqtReaDBk4,Aspire Clipart Guide | Vectric V11 Tutorials,https://www.youtube.com/watch?v=eJqtReaDBk4,,1733.0,CHANNEL,wave2,older-version duplicate of V12 tutorial,
H266iMILXOk,Aspire v3 - What's New - 2-Rail Sweep,https://www.youtube.com/watch?v=H266iMILXOk,,553.0,CHANNEL,wave2,uncategorized tutorial,
vSWR6JRJkTc,Aspire v3 - What's New - Component Distortion,https://www.youtube.com/watch?v=vSWR6JRJkTc,,475.0,CHANNEL,wave2,uncategorized tutorial,
xoWvzSFl9KA,Aspire v3 - What's New - Component Manipulation,https://www.youtube.com/watch?v=xoWvzSFl9KA,,383.0,CHANNEL,wave2,uncategorized tutorial,
PeD44MdGSss,Aspire v3 - What's New - Component Selection,https://www.youtube.com/watch?v=PeD44MdGSss,,424.0,CHANNEL,wave2,uncategorized tutorial,
aQM3GGKBddg,Aspire v3 - What's New - Component Visibility,https://www.youtube.com/watch?v=aQM3GGKBddg,,243.0,CHANNEL,wave2,uncategorized tutorial,
cTcIlJOTp14,Aspire v3 - What's New - Interface Layout,https://www.youtube.com/watch?v=cTcIlJOTp14,,343.0,CHANNEL,skip,Aspire v3 what's-new marketing,
W7IrLEYqz48,Aspire v3 - What's New - Tool Database Organization,https://www.youtube.com/watch?v=W7IrLEYqz48,,210.0,CHANNEL,skip,Aspire v3 what's-new marketing,
p9anN9_SLq0,Aspire v3 - What's New - Toolpath Templates,https://www.youtube.com/watch?v=p9anN9_SLq0,,449.0,CHANNEL,wave2,uncategorized tutorial,
HntQJ7b0HBI,Auto Inlay,https://www.youtube.com/watch?v=HntQJ7b0HBI,,844.0,CHANNEL,wave2,defer: auto inlay,
l3EtZdE04BU,Auto Inlay Toolpath Guide,https://www.youtube.com/watch?v=l3EtZdE04BU,,1235.0,CHANNEL,wave2,defer: auto inlay,
