feature,mention_count,example_video_ids,lean_relevance,category
two rail sweep,3,gezzgwbX-Mk Fdq4nhMahF8 glEsqGe_8cU,should,model_3d
multi-file save (per toolpath),3,a_HwPGiE0DI wzS6M3bhHgo Txafg3oN8c0,should,post_output
profile toolpath,2,VAvj8KqOuE8 yTlrrcQSBkE,must,toolpath_shared
tool number,2,mucdprsJQkw Txafg3oN8c0,should,machine
nesting,2,mucdprsJQkw 7TLntCKMjww,skip,other
job templates,1,wzS6M3bhHgo,should,job_setup
convert text to curves,1,nESYbpc9r6o,must,design_2d
fillets,1,dLD0Li8DMYw,should,design_2d
pocket toolpath,1,3I5rZg8hE-s,must,toolpath_shared
drill toolpath,1,HNyIDbF7kww,must,toolpath_shared
quick engraving toolpath,1,MOiVl-R3xhM,should,toolpath_shared
toolpath times estimate,1,mucdprsJQkw,should,toolpath_shared
arc fitting,1,7wxRKF7Lc8A,should,toolpath_shared
merge toolpaths,0,,should,toolpath_shared
keep-out zones,0,,should,toolpath_shared
